               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12675,             0.03442,            0.031909,             0.67464,            0.078755,           0.0041738,          0.00085569,             0.11163,            0.031005,            0.023678,              0.0739,              0.0029,              0.0029
                   1,             0.10937,            0.036944,            0.016435,             0.68587,            0.072344,            0.031128,           0.0060517,             0.10067,            0.033379,            0.011153,            0.046842,           0.0058416,           0.0058416
                   2,            0.097988,            0.038519,            0.010233,             0.39822,             0.25124,            0.063641,            0.013253,            0.089504,            0.039168,           0.0085113,            0.019724,           0.0087238,           0.0087238
                   3,            0.090983,            0.037724,           0.0084463,             0.45651,             0.30027,             0.11937,            0.025706,            0.083976,             0.03312,            0.008019,            0.009703,            0.009703,            0.009703
                   4,            0.084714,            0.035686,           0.0082785,             0.48256,             0.27653,              0.1691,            0.034583,            0.079546,            0.032251,            0.008398,            0.009703,            0.009703,            0.009703
                   5,            0.078179,            0.033854,           0.0071418,              0.5519,             0.45799,             0.29493,             0.11162,            0.070663,            0.035645,           0.0071494,            0.009604,            0.009604,            0.009604
                   6,            0.072002,             0.03269,           0.0071607,             0.62355,              0.3722,             0.37371,            0.095614,            0.067219,            0.027585,           0.0070445,            0.009505,            0.009505,            0.009505
                   7,            0.070877,            0.033392,           0.0069284,             0.62047,             0.36334,             0.39222,             0.12869,            0.071384,            0.031028,           0.0066639,            0.009406,            0.009406,            0.009406
                   8,            0.068023,            0.032931,           0.0063153,             0.74976,             0.45471,             0.51729,             0.13439,            0.059488,            0.027371,           0.0056546,            0.009307,            0.009307,            0.009307
                   9,            0.064083,            0.032141,           0.0054413,             0.48811,             0.59271,             0.56266,             0.20669,            0.058605,            0.030905,            0.005207,            0.009208,            0.009208,            0.009208
                  10,            0.064157,            0.032423,            0.005086,             0.60896,             0.63639,             0.66507,              0.2817,            0.068104,            0.026495,           0.0038574,            0.009109,            0.009109,            0.009109
                  11,            0.062128,            0.030714,           0.0047836,             0.65275,             0.79288,             0.78483,             0.28947,            0.058904,             0.02709,           0.0033025,             0.00901,             0.00901,             0.00901
                  12,            0.059307,             0.03242,              0.0035,             0.67401,             0.79934,             0.76027,             0.24234,            0.062882,            0.026364,            0.002456,            0.008911,            0.008911,            0.008911
                  13,            0.061211,            0.030865,           0.0033441,             0.83981,              0.7812,             0.81413,              0.3023,            0.057304,            0.025972,           0.0016305,            0.008812,            0.008812,            0.008812
                  14,             0.05969,            0.030765,           0.0026278,             0.67553,              0.6345,             0.63324,              0.2393,             0.05636,            0.027313,           0.0032123,            0.008713,            0.008713,            0.008713
                  15,            0.058762,            0.030708,           0.0027614,             0.83063,             0.80494,             0.82126,             0.41808,            0.053024,            0.026159,           0.0018043,            0.008614,            0.008614,            0.008614
                  16,             0.05812,            0.029924,            0.002938,                0.82,             0.79828,             0.78219,             0.29803,             0.06023,            0.025879,           0.0011208,            0.008515,            0.008515,            0.008515
                  17,            0.057144,            0.030874,            0.002656,             0.77808,              0.7682,             0.81628,             0.35337,            0.056013,             0.02791,           0.0029574,            0.008416,            0.008416,            0.008416
                  18,            0.057463,            0.033386,           0.0024926,             0.68875,             0.81402,             0.81283,              0.4023,            0.052516,            0.028549,           0.0033872,            0.008317,            0.008317,            0.008317
                  19,            0.056323,            0.029858,           0.0021984,             0.84771,             0.83316,             0.82452,             0.43532,            0.050011,            0.026215,           0.0010345,            0.008218,            0.008218,            0.008218
                  20,            0.056558,             0.02988,           0.0026556,             0.83601,              0.8379,             0.82503,             0.36302,            0.052652,              0.0267,           0.0010156,            0.008119,            0.008119,            0.008119
                  21,            0.054606,            0.030808,            0.002347,             0.63737,             0.68331,              0.6908,             0.35275,            0.057911,            0.032639,           0.0027923,             0.00802,             0.00802,             0.00802
                  22,            0.055329,            0.030379,           0.0022527,             0.84515,             0.83456,             0.83447,              0.3843,            0.051988,            0.026287,          0.00086331,            0.007921,            0.007921,            0.007921
                  23,             0.05378,            0.029859,           0.0021442,             0.85012,             0.84407,             0.83753,             0.40324,            0.049153,            0.025732,          0.00086291,            0.007822,            0.007822,            0.007822
                  24,            0.053612,            0.029144,            0.002306,             0.86904,             0.82831,             0.83913,             0.36408,            0.051664,            0.026208,          0.00090902,            0.007723,            0.007723,            0.007723
                  25,            0.052541,            0.028512,           0.0022794,             0.78543,             0.77385,             0.82983,             0.45323,            0.048853,            0.025943,            0.002972,            0.007624,            0.007624,            0.007624
                  26,            0.050363,            0.028609,           0.0021094,              0.8305,             0.83357,             0.81825,             0.38748,            0.053254,            0.026945,          0.00095977,            0.007525,            0.007525,            0.007525
                  27,            0.051997,            0.028679,           0.0018342,             0.82918,              0.8514,             0.83297,             0.44467,            0.051693,            0.025713,          0.00083363,            0.007426,            0.007426,            0.007426
                  28,            0.051998,            0.029812,           0.0016591,             0.79432,             0.81811,             0.83113,             0.42985,            0.048893,             0.02608,           0.0019485,            0.007327,            0.007327,            0.007327
                  29,            0.050871,            0.029162,           0.0020188,             0.85561,             0.82968,             0.83168,             0.45008,            0.050014,            0.025654,          0.00073483,            0.007228,            0.007228,            0.007228
                  30,            0.049811,            0.029751,           0.0019396,             0.83106,             0.84355,             0.83401,             0.47099,            0.048497,            0.025984,          0.00096757,            0.007129,            0.007129,            0.007129
                  31,            0.050677,            0.030825,           0.0018613,             0.83221,             0.83062,              0.8515,             0.42289,             0.04828,            0.025432,           0.0014696,             0.00703,             0.00703,             0.00703
                  32,            0.049796,            0.029441,            0.001843,             0.85865,             0.84812,             0.84338,             0.48305,            0.047966,            0.025087,           0.0007946,            0.006931,            0.006931,            0.006931
                  33,            0.050027,            0.029384,           0.0020837,             0.84612,             0.85223,             0.83394,             0.42153,            0.048474,            0.025707,          0.00070881,            0.006832,            0.006832,            0.006832
                  34,            0.049453,            0.028432,            0.001723,             0.85508,             0.84727,             0.85126,              0.4384,            0.048097,            0.025871,          0.00082489,            0.006733,            0.006733,            0.006733
                  35,            0.048973,             0.02902,           0.0015838,             0.82954,             0.80839,             0.81017,             0.40794,             0.05323,            0.025681,          0.00069775,            0.006634,            0.006634,            0.006634
                  36,            0.048079,            0.027213,           0.0019101,             0.83656,             0.85818,             0.85595,             0.45537,            0.048545,            0.026063,          0.00083773,            0.006535,            0.006535,            0.006535
                  37,            0.049719,            0.028338,           0.0019897,             0.84606,             0.84579,             0.83987,             0.49336,            0.046589,            0.025438,          0.00065221,            0.006436,            0.006436,            0.006436
                  38,            0.048607,            0.027638,           0.0016384,             0.78864,             0.81219,             0.82823,             0.46093,            0.049608,            0.026566,           0.0017911,            0.006337,            0.006337,            0.006337
                  39,            0.047505,            0.029586,           0.0015692,             0.91777,              0.7923,             0.84505,             0.45914,             0.04753,            0.027311,          0.00068507,            0.006238,            0.006238,            0.006238
                  40,            0.047168,            0.029347,           0.0015904,             0.85539,             0.82502,               0.835,             0.44486,            0.050661,            0.026447,          0.00077744,            0.006139,            0.006139,            0.006139
                  41,            0.047567,            0.027907,           0.0015335,             0.81354,             0.82488,             0.83479,             0.47637,            0.048583,            0.025485,           0.0013556,             0.00604,             0.00604,             0.00604
                  42,            0.047614,            0.028508,           0.0013091,             0.87634,             0.86014,             0.86112,             0.50134,            0.045574,             0.02506,           0.0004925,            0.005941,            0.005941,            0.005941
                  43,            0.046795,            0.027462,            0.001693,             0.86955,             0.84331,             0.85218,             0.48552,            0.047713,            0.025619,          0.00050934,            0.005842,            0.005842,            0.005842
                  44,            0.046045,            0.027321,           0.0019161,             0.84085,             0.80037,               0.824,             0.36772,            0.054073,            0.028137,          0.00089551,            0.005743,            0.005743,            0.005743
                  45,            0.045502,            0.026647,           0.0018202,             0.86079,             0.85523,             0.85535,             0.50849,            0.046488,            0.025051,          0.00066083,            0.005644,            0.005644,            0.005644
                  46,            0.046074,            0.027975,           0.0016334,             0.88845,             0.84371,             0.86417,              0.4135,             0.04746,            0.025316,          0.00066304,            0.005545,            0.005545,            0.005545
                  47,            0.044935,            0.027677,           0.0014258,             0.85487,             0.86337,             0.85081,             0.49497,             0.04641,             0.02557,          0.00057519,            0.005446,            0.005446,            0.005446
                  48,             0.04536,            0.026036,           0.0013291,             0.86498,             0.85127,             0.85193,             0.50138,            0.045898,            0.025842,          0.00057796,            0.005347,            0.005347,            0.005347
                  49,             0.04444,            0.026457,           0.0012931,             0.86144,             0.84482,             0.84767,             0.47082,            0.046711,             0.02627,           0.0005501,            0.005248,            0.005248,            0.005248
                  50,            0.045195,            0.027517,           0.0012838,             0.86034,             0.83522,             0.84382,             0.49057,            0.047968,            0.026297,          0.00084942,            0.005149,            0.005149,            0.005149
                  51,            0.043815,             0.02682,           0.0014556,             0.84999,             0.85753,             0.84609,             0.51595,             0.04565,            0.026511,          0.00044501,             0.00505,             0.00505,             0.00505
                  52,            0.044474,            0.027066,           0.0011661,             0.85733,             0.83366,             0.83764,             0.46862,            0.047559,            0.025091,          0.00058102,            0.004951,            0.004951,            0.004951
                  53,            0.044011,            0.025446,           0.0011575,             0.80706,             0.72817,             0.79858,             0.44228,            0.053474,            0.029432,           0.0022187,            0.004852,            0.004852,            0.004852
                  54,            0.042749,            0.026987,           0.0010813,             0.85901,             0.85362,             0.85028,             0.50875,            0.045989,            0.025731,          0.00042339,            0.004753,            0.004753,            0.004753
                  55,            0.042755,            0.026417,           0.0011084,              0.8628,             0.82231,             0.82056,             0.46811,            0.051967,            0.027721,           0.0006299,            0.004654,            0.004654,            0.004654
                  56,            0.043255,            0.025907,           0.0010366,             0.87025,             0.85611,             0.85653,               0.489,            0.046992,            0.025817,          0.00046884,            0.004555,            0.004555,            0.004555
                  57,            0.042311,            0.025693,           0.0012888,             0.86728,             0.83941,             0.85772,             0.47423,            0.046636,            0.025736,          0.00073901,            0.004456,            0.004456,            0.004456
                  58,            0.042179,            0.025171,           0.0014819,             0.87271,             0.85649,             0.85679,              0.4705,            0.046912,            0.025611,           0.0004126,            0.004357,            0.004357,            0.004357
                  59,            0.041656,            0.024808,            0.001116,             0.86722,             0.86386,              0.8644,             0.52714,            0.044797,            0.025748,          0.00038647,            0.004258,            0.004258,            0.004258
                  60,             0.04225,            0.027101,          0.00094858,             0.87931,             0.85394,              0.8606,             0.51356,            0.045639,            0.025411,          0.00040119,            0.004159,            0.004159,            0.004159
                  61,            0.042453,            0.026415,          0.00093201,             0.88385,             0.84383,              0.8567,             0.51812,            0.045349,            0.025914,          0.00045589,             0.00406,             0.00406,             0.00406
                  62,              0.0423,            0.026321,          0.00085353,             0.87874,             0.84775,              0.8566,               0.513,             0.04719,            0.025952,          0.00040825,            0.003961,            0.003961,            0.003961
                  63,            0.041568,            0.026489,           0.0010672,             0.88195,              0.8403,             0.84801,             0.48059,            0.046466,            0.025805,          0.00036914,            0.003862,            0.003862,            0.003862
                  64,            0.041885,            0.026389,           0.0010813,             0.87685,             0.85101,             0.85471,              0.4814,             0.04588,            0.026273,          0.00044324,            0.003763,            0.003763,            0.003763
                  65,            0.040897,            0.025263,            0.001016,             0.86396,             0.85211,             0.84478,             0.48994,            0.045345,            0.025929,          0.00037762,            0.003664,            0.003664,            0.003664
                  66,             0.04058,            0.023859,            0.001099,             0.87469,             0.84809,             0.85478,             0.51582,             0.04523,            0.025878,          0.00039107,            0.003565,            0.003565,            0.003565
                  67,             0.04142,            0.024607,            0.000996,             0.86666,             0.86014,             0.85349,             0.50055,            0.046819,            0.025924,          0.00039098,            0.003466,            0.003466,            0.003466
                  68,            0.040174,            0.026014,           0.0010035,             0.88412,             0.85607,             0.85877,             0.50091,            0.045793,            0.025737,          0.00039552,            0.003367,            0.003367,            0.003367
                  69,             0.04022,             0.02412,          0.00093968,             0.84702,             0.85623,             0.83729,             0.46915,            0.048579,            0.026011,          0.00037721,            0.003268,            0.003268,            0.003268
                  70,            0.040005,            0.025174,          0.00078484,             0.87364,             0.84699,             0.84733,             0.48495,            0.045313,            0.026012,          0.00032499,            0.003169,            0.003169,            0.003169
                  71,            0.039143,             0.02433,           0.0010552,             0.86721,             0.85645,              0.8542,             0.50054,            0.045062,            0.025508,          0.00031717,             0.00307,             0.00307,             0.00307
                  72,            0.039302,            0.024615,           0.0009034,             0.86326,             0.85714,             0.85317,             0.48825,            0.045019,            0.026029,          0.00033156,            0.002971,            0.002971,            0.002971
                  73,            0.039311,            0.024664,          0.00082803,             0.85726,             0.85649,             0.85032,             0.50601,            0.045914,            0.026222,          0.00030494,            0.002872,            0.002872,            0.002872
                  74,            0.039086,            0.025356,          0.00082664,             0.85325,              0.8741,             0.85748,             0.49634,            0.046321,            0.025955,          0.00029416,            0.002773,            0.002773,            0.002773
                  75,            0.039128,            0.023237,          0.00081722,             0.85981,             0.85649,             0.84863,             0.52683,            0.045565,             0.02597,          0.00026827,            0.002674,            0.002674,            0.002674
                  76,            0.038278,            0.024664,          0.00083996,             0.86502,             0.86236,             0.85659,             0.52172,            0.045054,             0.02578,          0.00028188,            0.002575,            0.002575,            0.002575
                  77,            0.038156,            0.024098,          0.00099892,             0.87352,             0.85127,             0.85463,             0.52782,            0.045258,            0.026441,          0.00023837,            0.002476,            0.002476,            0.002476
                  78,             0.03852,            0.025288,          0.00066132,              0.8607,             0.86888,             0.85775,             0.52208,            0.045487,            0.026305,          0.00032735,            0.002377,            0.002377,            0.002377
                  79,            0.038829,            0.024849,          0.00070258,             0.87577,             0.83674,             0.85031,             0.50465,             0.04652,            0.026774,          0.00048903,            0.002278,            0.002278,            0.002278
                  80,            0.037363,            0.023534,          0.00068085,             0.86062,              0.8586,             0.85428,             0.51836,            0.044803,            0.025997,          0.00030779,            0.002179,            0.002179,            0.002179
                  81,            0.037934,            0.024152,          0.00070963,             0.86176,             0.86322,             0.85133,             0.51355,            0.045907,            0.026324,          0.00027121,             0.00208,             0.00208,             0.00208
                  82,             0.03759,            0.024022,           0.0007064,             0.85632,             0.86297,             0.85085,             0.50512,            0.046293,            0.026646,          0.00027048,            0.001981,            0.001981,            0.001981
                  83,            0.036315,            0.022619,          0.00081023,             0.87548,             0.85127,             0.85396,             0.52732,            0.045148,            0.026097,           0.0002316,            0.001882,            0.001882,            0.001882
                  84,            0.038047,            0.024674,          0.00084559,             0.86787,             0.86489,             0.85288,             0.51714,            0.045609,            0.025963,          0.00023149,            0.001783,            0.001783,            0.001783
                  85,            0.037256,            0.023958,          0.00061627,             0.86293,              0.8578,             0.85618,             0.53995,            0.044735,            0.026114,          0.00023709,            0.001684,            0.001684,            0.001684
                  86,            0.037306,            0.024176,          0.00068452,             0.85982,             0.86758,             0.85159,             0.52975,            0.044516,            0.026205,          0.00019918,            0.001585,            0.001585,            0.001585
                  87,            0.036953,            0.023287,          0.00076469,             0.87101,             0.85666,             0.85237,             0.52939,            0.045279,            0.026189,          0.00020552,            0.001486,            0.001486,            0.001486
                  88,            0.036196,            0.023085,          0.00073681,              0.8673,             0.86497,              0.8549,             0.53012,            0.044953,            0.026424,          0.00021481,            0.001387,            0.001387,            0.001387
                  89,            0.036067,            0.022148,          0.00055024,             0.86192,             0.85127,             0.84402,             0.51244,            0.046503,            0.027033,           0.0002014,            0.001288,            0.001288,            0.001288
                  90,            0.035642,             0.02243,           0.0009751,             0.87657,             0.85417,             0.85575,             0.54015,            0.044195,            0.026512,          0.00020453,            0.001189,            0.001189,            0.001189
                  91,            0.035381,            0.022756,          0.00062713,             0.86395,             0.85667,             0.85068,             0.53419,            0.044617,            0.026712,          0.00020188,             0.00109,             0.00109,             0.00109
                  92,            0.035925,            0.022995,          0.00057469,             0.87142,             0.86453,             0.85846,             0.53558,            0.044466,            0.026162,          0.00020738,            0.000991,            0.000991,            0.000991
                  93,            0.035573,            0.022218,          0.00076974,             0.87561,             0.85524,             0.85496,             0.52688,            0.044736,            0.026215,            0.000192,            0.000892,            0.000892,            0.000892
                  94,            0.035817,            0.022418,           0.0007575,             0.87507,             0.84816,             0.85013,             0.53019,             0.04444,            0.026446,          0.00019095,            0.000793,            0.000793,            0.000793
                  95,            0.035651,            0.022713,          0.00044942,             0.86103,             0.86474,             0.85019,             0.52979,            0.044717,            0.026921,          0.00018008,            0.000694,            0.000694,            0.000694
                  96,             0.03565,            0.022841,          0.00043398,             0.85884,             0.86421,             0.85339,             0.53485,            0.044184,            0.026743,            0.000182,            0.000595,            0.000595,            0.000595
                  97,            0.034766,            0.023065,          0.00045107,             0.87822,             0.84897,             0.85324,             0.52527,            0.044523,            0.026779,          0.00017318,            0.000496,            0.000496,            0.000496
                  98,            0.034846,            0.021747,          0.00094284,             0.86474,             0.86008,             0.85425,             0.53447,            0.044337,            0.026674,           0.0001714,            0.000397,            0.000397,            0.000397
                  99,            0.034653,            0.021839,          0.00060657,             0.86163,             0.85939,             0.85201,             0.53383,            0.044645,            0.026663,           0.0001668,            0.000298,            0.000298,            0.000298
